,original,predict
0,106400.0,168843.8516903172
1,185400.0,252176.5055319695
2,405000.0,328718.71261056035
3,95800.0,175620.22690427178
4,442900.0,269687.78596277646
5,341400.0,293953.8815439838
6,290900.0,313910.3614225153
7,239900.0,179480.13036366418
8,209900.0,241027.65325855426
9,151300.0,198984.46907233892
10,393200.0,352778.15722566284
11,79800.0,92340.77896893214
12,164400.0,223135.48875962285
13,154500.0,145042.08898976888
14,290900.0,279128.72376995545
15,257400.0,208982.64234291532
16,127900.0,89591.98024335745
17,159000.0,133614.29443560352
18,184300.0,163589.764971821
19,32500.0,146971.57990565166
20,253800.0,256261.0494716335
21,161800.0,208808.1818250307
22,79400.0,150723.80381647873
23,500001.0,509701.1449429116
24,258100.0,239785.2000425907
25,104400.0,138556.50761058222
26,72300.0,120417.17912720976
27,289500.0,237431.46268937396
28,65900.0,69913.20959831911
29,192500.0,237173.81131165876
30,195800.0,210654.82620801165
31,238600.0,268433.96571341285
32,102800.0,117985.27455754524
33,95500.0,106618.4880269992
34,222800.0,275295.0512038977
35,220700.0,293853.51172582683
36,64700.0,109631.99750783344
37,55700.0,50355.93236935907
38,336200.0,258983.6054990702
39,158400.0,140336.10734145704
40,44600.0,65700.58912301782
41,225000.0,277403.5387679742
42,312700.0,240042.5945416038
43,224100.0,326957.68142223236
44,133100.0,167126.52697371456
45,453100.0,391622.22644531366
46,300900.0,272635.4566350529
47,171300.0,151829.0099328927
48,500001.0,464148.7797596151
49,253800.0,274223.185711714
50,183300.0,145239.368421542
51,500001.0,401438.536980268
52,500001.0,280816.79718529724
53,272200.0,269007.4714452651
54,87500.0,156761.76792438922
55,500001.0,335856.82644885115
56,117000.0,98718.03140570477
57,184600.0,188262.91431717138
58,358500.0,289661.93722004886
59,450000.0,386509.2607285159
60,174300.0,205010.39780347503
61,103000.0,113872.21998307802
62,204900.0,200190.65136204677
63,146600.0,133542.69327080026
64,184700.0,239314.04827983756
65,81500.0,103017.36662686628
66,185300.0,238866.97111441736
67,159500.0,168040.45320330243
68,172800.0,202512.40312973713
69,187500.0,231503.7950343561
70,281300.0,390471.60574352334
71,85800.0,164614.12740196107
72,171500.0,237506.82685162392
73,152000.0,185489.2837164802
74,245600.0,295172.0472538004
75,281600.0,340305.20047595556
76,54600.0,64431.41436023018
77,249200.0,245830.83564849256
78,96700.0,144104.13816833915
79,96500.0,148919.9056034553
80,298400.0,243837.05368425118
81,94200.0,144643.88600679126
82,350000.0,385142.6780079154
83,156300.0,151415.72066057235
84,112500.0,136532.97803919693
85,93100.0,83815.67105987671
86,153000.0,186444.95606233377
87,414300.0,291210.90069478704
88,210400.0,212890.1749884102
89,105600.0,121288.58488149363
90,242700.0,265604.92489563517
91,318700.0,334145.1494465082
92,98100.0,178902.23799879636
93,119200.0,179507.06889423192
94,197000.0,229786.58277131102
95,112800.0,140524.13016387547
96,228600.0,206291.9302342664
97,223000.0,249962.63491778588
98,226700.0,202391.76921842725
99,312600.0,261997.27057195964
100,310800.0,305800.32243796665
101,393800.0,281785.28689127415
102,165100.0,159564.95619178668
103,139300.0,110140.8851297179
104,197000.0,293393.6017588808
105,320000.0,288699.44752487855
106,250000.0,304197.461721642
107,157300.0,168724.593769985
108,275000.0,316424.1816489764
109,243700.0,251696.90488291578
110,342900.0,239626.62020344587
111,281300.0,207259.6683201348
112,132500.0,169601.36559602682
113,500001.0,486041.5694643853
114,251900.0,251986.67215596
115,99500.0,121863.03054684884
116,101600.0,130419.61710857863
117,282100.0,141519.80286773344
118,500001.0,286391.362396685
119,134300.0,131372.63731360176
120,170100.0,138495.06452653644
121,112500.0,122926.13834934635
122,381500.0,286845.7984239224
123,212500.0,242424.3732994153
124,287600.0,270497.8894516434
125,119400.0,202310.19404133552
126,55100.0,99053.7548051205
127,104200.0,162193.01104594205
128,214700.0,221987.4028632914
129,88000.0,139244.01924798856
130,100600.0,135751.10895692464
131,203700.0,275715.80853291927
132,333300.0,164288.00944140716
133,112500.0,133061.50665768344
134,500001.0,354372.77861905785
135,93000.0,110188.4406916963
136,237800.0,271137.39954395307
137,105300.0,147487.06989679125
138,296600.0,309008.53326295014
139,228700.0,333275.10819533543
140,341900.0,335310.47282432934
141,90500.0,158596.70872044
142,97500.0,166889.87811902878
143,134100.0,177378.07011025483
144,271300.0,280976.85413878213
145,200000.0,203605.79260876565
146,151800.0,170459.3211090746
147,271200.0,276211.41838536743
148,112500.0,142177.60147659405
149,262100.0,274273.1002229226
150,88300.0,172642.6958424216
151,107200.0,43607.17349990111
152,166000.0,210726.88851036923
153,218100.0,287949.1867547411
154,72800.0,127014.77639577945
155,118800.0,141508.7639114031
156,237500.0,130653.03200549436
157,281600.0,258708.34981145055
158,500001.0,326759.1676479807
159,86300.0,77966.00525726637
160,152700.0,205629.77336891647
161,84600.0,167085.61205977498
162,86400.0,118154.54228582644
163,85700.0,-6663.390235975414
164,196700.0,225379.64100090138
165,160700.0,211926.86718427867
166,347500.0,263787.86755499244
167,72500.0,143259.29838099776
168,344200.0,339543.03539979376
169,108000.0,144577.0886201567
170,428600.0,312699.9732930087
171,225000.0,241352.86315157154
172,167000.0,139605.47097380925
173,239400.0,296168.1255582051
174,53200.0,82055.50071417933
175,148300.0,173011.81829977393
176,343300.0,364861.5166951467
177,137500.0,221538.2347073154
178,136700.0,211619.42338487666
179,295600.0,280708.923333888
180,350000.0,330408.86419162096
181,131300.0,175659.8596174098
182,67900.0,127667.19668668603
183,124600.0,109005.00260855409
184,500001.0,373472.93543075165
185,500001.0,218228.09994224133
186,219500.0,274292.58452866663
187,75000.0,164825.01638382347
188,155800.0,229794.57386021598
189,301000.0,220361.00559249354
190,258300.0,201337.1838480319
191,230700.0,261122.09296980285
192,263800.0,255112.9348496983
193,79400.0,140112.41908382613
194,110700.0,115026.49179418205
195,500001.0,477506.89661698404
196,175000.0,248186.6229698449
197,277900.0,332646.1694387865
198,155200.0,167627.4930959711
199,47000.0,41858.552894194174
200,187300.0,294304.9882154683
201,177800.0,103042.82276293126
202,182900.0,229644.0504730345
203,182100.0,191213.5409594971
204,187900.0,253213.7323249964
205,101900.0,149476.37331990694
206,122500.0,221061.16065672543
207,193500.0,205054.87093922947
208,155700.0,162416.40857704135
209,176700.0,199822.62336319164
210,223800.0,251218.74777572893
211,66000.0,107197.16826352288
212,90200.0,150213.34245540592
213,142200.0,171872.53675740235
214,345700.0,256690.24797904125
215,118800.0,118745.95141417437
216,112500.0,50389.05074222994
217,73400.0,96182.51282537277
218,343800.0,211817.1475724744
219,238200.0,250326.72933229263
220,335500.0,229606.45789298785
221,83600.0,123828.37861731257
222,464300.0,243250.90423110692
223,293000.0,256534.3624350837
224,110600.0,92860.24469071263
225,179800.0,237042.99719935853
226,199000.0,209617.79425145724
227,288900.0,310814.4129352171
228,140200.0,123099.4861844186
229,54100.0,43040.16310020871
230,112500.0,150261.63869769312
231,164600.0,129475.79966366538
232,86200.0,98138.37042752534
233,237500.0,123592.93107813786
234,283100.0,274087.48888326966
235,500001.0,279418.4028192735
236,228800.0,254687.30932256344
237,184400.0,222683.4111431073
238,240300.0,195003.04842459055
239,125000.0,164185.73400828597
240,290700.0,260578.76522076514
241,69300.0,90001.64460753955
242,349000.0,301724.2825267386
243,51700.0,36970.68327705379
244,95000.0,139525.36672976217
245,134600.0,123962.30603018563
246,183900.0,260684.86352485046
247,166300.0,228919.351380925
248,75000.0,104706.4522835254
249,411200.0,417529.66302015586
250,162500.0,128054.28234809512
251,237200.0,186718.86163578354
252,263600.0,270660.9773150555
253,209800.0,256951.07854316756
254,60000.0,68096.15680082192
255,175400.0,188801.59477739542
256,101400.0,122953.40510023506
257,53000.0,92850.28288323854
258,137500.0,205079.99004874355
259,138800.0,190974.37194746546
260,153100.0,198468.10558406066
261,150000.0,241039.9179345491
262,54700.0,114578.41186160996
263,115200.0,44521.22828309942
264,187500.0,192889.26097863045
265,295100.0,311863.2174928426
266,209900.0,273489.2981621042
267,248700.0,166045.2335514027
268,156900.0,173194.13045735692
269,156900.0,230616.31440716857
270,138800.0,163479.90022426785
271,137800.0,183651.45894235963
272,200200.0,226589.92152486494
273,500001.0,461685.1251124408
274,221000.0,289064.8406281704
275,375000.0,298636.3344794976
276,156500.0,197544.68995131535
277,120500.0,195886.82594891672
278,472700.0,348188.8157570563
279,107400.0,139001.17827193366
280,87200.0,103014.55130533676
281,162500.0,252418.91434954625
282,146000.0,221630.52960261883
283,500001.0,357556.0288783158
284,209700.0,272392.4744460034
285,117700.0,144259.30898016802
286,224200.0,261634.47679575346
287,190100.0,251665.49495379705
288,263800.0,258019.40525073596
289,197200.0,256205.08071801002
290,194100.0,200482.99605747557
291,94900.0,118837.67777262646
292,292700.0,291659.15153613745
293,241000.0,205904.44235715852
294,164500.0,225414.71764541083
295,268300.0,189172.80205250587
296,149400.0,126244.68040712617
297,94900.0,132682.08500550696
298,348900.0,289001.0028527884
299,500001.0,43217.919773104484
300,259800.0,214661.9918291783
301,50600.0,90542.66080849202
302,136300.0,164879.02731239976
303,44400.0,52389.02429948011
304,162500.0,193826.62886750055
305,282100.0,219520.81649033248
306,250800.0,318400.53342850436
307,438300.0,227359.0597571551
308,203000.0,200331.11176852818
309,80200.0,119010.72617796109
310,263600.0,217733.76271226598
311,246700.0,272556.5911062374
312,93200.0,129666.9486891889
313,305800.0,224750.06718836655
314,371800.0,340589.5672950533
315,76800.0,126423.46572614767
316,178200.0,205019.83236223483
317,163600.0,181938.94922426075
318,231600.0,253373.17434037258
319,270500.0,301076.2822235754
320,84500.0,111410.78519043597
321,116800.0,139617.2421361035
322,225000.0,241088.8642877402
323,278400.0,268918.62043213454
324,196100.0,170098.47638960226
325,161900.0,212921.0968983384
326,189600.0,243371.98697249746
327,137900.0,144434.20578358974
328,117000.0,96338.1948267259
329,355000.0,244421.3047269402
330,188500.0,264840.63030113594
331,373500.0,250299.68659644053
332,325200.0,330749.4910380421
333,65200.0,76644.13850245206
334,229100.0,279280.7374381228
335,243100.0,232528.33247731975
336,287500.0,200680.69242046934
337,500001.0,278704.2786826282
338,279900.0,274935.8512865914
339,150400.0,153303.04709738103
340,500001.0,437839.2611259258
341,239800.0,289482.1431090508
342,220800.0,178574.08543713443
343,80300.0,200672.2221029379
344,287500.0,360111.1163253567
345,131600.0,112766.77297534858
346,202700.0,200628.28536815467
347,500001.0,398436.05944260326
348,92400.0,89302.15586527227
349,187500.0,242186.67357724093
350,98000.0,185868.06284551887
351,500001.0,483401.21995060245
352,254100.0,315357.8259125896
353,271800.0,246845.394410915
354,57900.0,67125.42118071497
355,256000.0,294573.71653700864
356,96200.0,117469.34983580114
357,209500.0,218398.6431383667
358,185200.0,222527.8014111201
359,154100.0,171246.86324338085
360,221700.0,170849.80890308772
361,263100.0,191777.70729178892
362,142500.0,191846.39659720022
363,401900.0,338747.6899153478
364,188100.0,296909.18726553745
365,118800.0,186404.14948212213
366,366700.0,236402.13889421773
367,164400.0,163935.77129733932
368,500001.0,292177.93691711634
369,194700.0,254862.8620793748
370,301900.0,246181.3040917063
371,185900.0,132285.3067136697
372,329100.0,242197.7887064511
373,112500.0,92484.46074023057
374,390500.0,343826.70456772693
375,197500.0,263415.5643147008
376,376800.0,307565.198991654
377,320900.0,342982.43939929426
378,183600.0,229465.19858022136
379,170800.0,183165.46796582395
380,161200.0,201269.96175829516
381,225000.0,279823.3710780068
382,103500.0,157457.19902744083
383,235300.0,197495.04154184638
384,100800.0,82102.8665605044
385,152700.0,194210.0562369146
386,481500.0,429525.9765230356
387,113000.0,132842.84196101496
